id,crop,topic,symptoms,possible_causes,solution,region,source,language,verified,question,answer
rice-leaf-yellow-n-deficiency,rice,nutrient_deficiency,"yellow leaves; pale older leaves",nitrogen deficiency,"Check fertilizer schedule. Apply nitrogen as locally recommended. Avoid overwatering after application.",general,internal,en,true,"Why are my rice leaves turning yellow?","Yellow rice leaves often mean nitrogen deficiency, especially when older leaves turn pale first. Check your fertilizer schedule and apply nitrogen as recommended for your area. If unsure, ask a local agriculture officer before applying more fertilizer."
rice-brown-spot,rice,disease,"brown spots on leaves; leaf tip burn",brown spot fungus; nutrient imbalance,"Improve field drainage. Avoid dense planting. Use balanced fertilizer. Remove heavily infected leaves if practical.",general,internal,en,true,"My rice has brown spots on the leaves. What should I do?","Brown spots on rice leaves can be brown spot disease, often worse when plants are nutrient-stressed. Improve drainage, avoid overcrowding, and use balanced fertilizer. Severely damaged leaves can be removed. Seek local advice if spots spread quickly."
rice-blast,rice,disease,"diamond-shaped lesions; leaf blight; neck rot",rice blast fungus,"Use resistant varieties if available. Avoid excess nitrogen. Keep good water management. Ask local extension for approved fungicide guidance.",general,internal,en,true,"What causes rice blast and how do I manage it?","Rice blast often shows diamond-shaped lesions on leaves and can damage the neck of the panicle. Reduce excess nitrogen, manage water carefully, and prefer resistant varieties. For chemical control, follow only locally approved recommendations."
rice-stem-borer,rice,pest,"dead hearts; white heads; bored stems",stem borer insects,"Remove and destroy infested tillers. Avoid staggered planting nearby. Encourage natural enemies. Use local threshold-based control advice.",general,internal,en,true,"Rice plants have dead hearts. Is it stem borer?","Dead hearts and white heads in rice often indicate stem borer damage. Remove heavily infested tillers, avoid staggered planting that keeps pests active, and protect beneficial insects. Use pesticides only if local guidance says the infestation is above threshold."
tomato-leaf-curl,tomato,disease,"upward leaf curl; stunted growth; yellowing",tomato leaf curl virus; whiteflies,"Control whiteflies with nets or approved methods. Remove heavily infected plants. Avoid moving infected seedlings between fields.",general,internal,en,true,"Tomato leaves are curling upward. What is wrong?","Upward curling and stunting in tomatoes can be leaf curl virus, often spread by whiteflies. Remove badly infected plants, reduce whitefly pressure, and avoid introducing infected seedlings. There is no simple cure once plants are infected."
tomato-early-blight,tomato,disease,"target-like brown spots; lower leaf yellowing",early blight fungus,"Improve air flow. Water at soil level. Remove infected lower leaves. Rotate crops next season.",general,internal,en,true,"Tomato lower leaves have target-like brown spots.","Target-like brown spots on older tomato leaves often point to early blight. Remove infected lower leaves, water the soil rather than the foliage, and improve airflow. Rotate crops in the next season to reduce disease carryover."
tomato-blossom-end-rot,tomato,nutrient_deficiency,"dark sunken patch at fruit bottom",calcium imbalance; uneven watering,"Keep soil moisture steady. Avoid extreme dry-wet cycles. Do not overapply nitrogen. Mulch to hold moisture.",general,internal,en,true,"Why do my tomatoes rot at the bottom of the fruit?","A dark sunken patch at the blossom end is usually blossom-end rot, linked to calcium uptake and uneven watering. Keep soil moisture steady, mulch the bed, and avoid heavy nitrogen that pushes soft growth."
chili-aphids,chili,pest,"curled leaves; sticky honeydew; ants on plant",aphids,"Wash small infestations with water. Encourage ladybugs. Use mild soap spray carefully. Check underside of leaves often.",general,internal,en,true,"Chili leaves are curled and sticky. What pest is it?","Curled sticky chili leaves often mean aphids. Check the underside of leaves, rinse light infestations with water, and protect beneficial insects. Use soap sprays carefully and avoid harsh chemicals unless the infestation is severe."
chili-leaf-spot,chili,disease,"circular leaf spots; leaf drop",fungal or bacterial leaf spot,"Avoid overhead watering. Remove diseased leaves. Improve spacing and airflow. Clean tools between plants.",general,internal,en,true,"Chili plants are dropping leaves with spots.","Leaf spots and drop on chili can be fungal or bacterial. Avoid watering from above, remove diseased leaves, and give plants more space for airflow. Clean tools so the problem does not spread."
cabbage-diamondback-moth,cabbage,pest,"holes in leaves; tiny green larvae",diamondback moth,"Scout leaves regularly. Handpick larvae when few. Use nets on seedbeds. Rotate brassica crops.",general,internal,en,true,"Something is making holes in my cabbage leaves.","Holes in cabbage leaves are often caused by diamondback moth larvae. Scout often, handpick when numbers are low, protect seedbeds with nets, and rotate brassica crops to break the pest cycle."
