id,title,category,crop,content,source,tags,region,language,verified
rice-leaf-yellow-n-deficiency,Rice Leaf Yellowing (Nitrogen Deficiency),fertilizer,rice,"Why are my rice leaves turning yellow?

Yellow rice leaves often mean nitrogen deficiency, especially when older leaves turn pale first. Check your fertilizer schedule and apply nitrogen as recommended for your area. If unsure, ask a local agriculture officer before applying more fertilizer.

Symptoms: yellow leaves, pale older leaves

Possible causes: nitrogen deficiency

Solution: Check fertilizer schedule. Apply nitrogen as locally recommended. Avoid overwatering after application.",internal,rice;fertilizer;nitrogen;deficiency;yellow;leaves,general,en,true
rice-brown-spot,Rice Brown Spot Disease,disease,rice,"My rice has brown spots on the leaves. What should I do?

Brown spots on rice leaves can be brown spot disease, often worse when plants are nutrient-stressed. Improve drainage, avoid overcrowding, and use balanced fertilizer. Severely damaged leaves can be removed. Seek local advice if spots spread quickly.

Symptoms: brown spots on leaves, leaf tip burn

Possible causes: brown spot fungus, nutrient imbalance

Solution: Improve field drainage. Avoid dense planting. Use balanced fertilizer. Remove heavily infected leaves if practical.",internal,rice;disease;brown;spot;fungus;nutrient,general,en,true
rice-blast,Rice Blast Disease,disease,rice,"What causes rice blast and how do I manage it?

Rice blast often shows diamond-shaped lesions on leaves and can damage the neck of the panicle. Reduce excess nitrogen, manage water carefully, and prefer resistant varieties. For chemical control, follow only locally approved recommendations.

Symptoms: diamond-shaped lesions, leaf blight, neck rot

Possible causes: rice blast fungus

Solution: Use resistant varieties if available. Avoid excess nitrogen. Keep good water management. Ask local extension for approved fungicide guidance.",internal,rice;disease;blast;fungus;diamond,general,en,true
rice-stem-borer,Rice Stem Borer,pest,rice,"Rice plants have dead hearts. Is it stem borer?

Dead hearts and white heads in rice often indicate stem borer damage. Remove heavily infested tillers, avoid staggered planting that keeps pests active, and protect beneficial insects. Use pesticides only if local guidance says the infestation is above threshold.

Symptoms: dead hearts, white heads, bored stems

Possible causes: stem borer insects

Solution: Remove and destroy infested tillers. Avoid staggered planting nearby. Encourage natural enemies. Use local threshold-based control advice.",internal,rice;pest;stem;borer;insects;dead,general,en,true
tomato-leaf-curl,Tomato Leaf Curl,disease,tomato,"Tomato leaves are curling upward. What is wrong?

Upward curling and stunting in tomatoes can be leaf curl virus, often spread by whiteflies. Remove badly infected plants, reduce whitefly pressure, and avoid introducing infected seedlings. There is no simple cure once plants are infected.

Symptoms: upward leaf curl, stunted growth, yellowing

Possible causes: tomato leaf curl virus, whiteflies

Solution: Control whiteflies with nets or approved methods. Remove heavily infected plants. Avoid moving infected seedlings between fields.",internal,tomato;disease;leaf;curl;virus,general,en,true
tomato-early-blight,Tomato Early Blight,disease,tomato,"Tomato lower leaves have target-like brown spots.

Target-like brown spots on older tomato leaves often point to early blight. Remove infected lower leaves, water the soil rather than the foliage, and improve airflow. Rotate crops in the next season to reduce disease carryover.

Symptoms: target-like brown spots, lower leaf yellowing

Possible causes: early blight fungus

Solution: Improve air flow. Water at soil level. Remove infected lower leaves. Rotate crops next season.",internal,tomato;disease;early;blight;fungus;target,general,en,true
tomato-blossom-end-rot,Tomato Blossom End Rot,fertilizer,tomato,"Why do my tomatoes rot at the bottom of the fruit?

A dark sunken patch at the blossom end is usually blossom-end rot, linked to calcium uptake and uneven watering. Keep soil moisture steady, mulch the bed, and avoid heavy nitrogen that pushes soft growth.

Symptoms: dark sunken patch at fruit bottom

Possible causes: calcium imbalance, uneven watering

Solution: Keep soil moisture steady. Avoid extreme dry-wet cycles. Do not overapply nitrogen. Mulch to hold moisture.",internal,tomato;fertilizer;calcium;imbalance;uneven;watering,general,en,true
chili-aphids,Chili Aphid Infestation,pest,chili,"Chili leaves are curled and sticky. What pest is it?

Curled sticky chili leaves often mean aphids. Check the underside of leaves, rinse light infestations with water, and protect beneficial insects. Use soap sprays carefully and avoid harsh chemicals unless the infestation is severe.

Symptoms: curled leaves, sticky honeydew, ants on plant

Possible causes: aphids

Solution: Wash small infestations with water. Encourage ladybugs. Use mild soap spray carefully. Check underside of leaves often.",internal,chili;pest;aphids;curled;leaves;sticky,general,en,true
chili-leaf-spot,Chili Leaf Spot Disease,disease,chili,"Chili plants are dropping leaves with spots.

Leaf spots and drop on chili can be fungal or bacterial. Avoid watering from above, remove diseased leaves, and give plants more space for airflow. Clean tools so the problem does not spread.

Symptoms: circular leaf spots, leaf drop

Possible causes: fungal or bacterial leaf spot

Solution: Avoid overhead watering. Remove diseased leaves. Improve spacing and airflow. Clean tools between plants.",internal,chili;disease;fungal;bacterial;leaf;spot,general,en,true
cabbage-diamondback-moth,Cabbage Diamondback Moth,pest,cabbage,"Something is making holes in my cabbage leaves.

Holes in cabbage leaves are often caused by diamondback moth larvae. Scout often, handpick when numbers are low, protect seedbeds with nets, and rotate brassica crops to break the pest cycle.

Symptoms: holes in leaves, tiny green larvae

Possible causes: diamondback moth

Solution: Scout leaves regularly. Handpick larvae when few. Use nets on seedbeds. Rotate brassica crops.",internal,cabbage;pest;diamondback;moth;holes;leaves,general,en,true
