id,title,category,crop,content,source,tags,region,language,verified
rice-leaf-yellow-n-deficiency,စပါးရွက်ဝါခြင်း (နိုက်ထရိုဂျင်ချို့တဲ့မှု),fertilizer,rice,"ကျွန်တော်၏ စပါးအရွက်များ အဘယ်ကြောင့် အဝါရောင်ပြောင်းနေသနည်း

စပါးရွက် အဝါရောင်ပြောင်းခြင်းသည် အထူးသဖြင့် အရွက်ဟောင်းများ ဦးစွာ ဖျော့လာပါက နိုက်ထရိုဂျင်ချို့တဲ့ခြင်း ဖြစ်နိုင်သည်။ သင့်ဒေသအတွက် အကြံပြုထားသည့်အတိုင်း မျိုးအောင်အချိန်ဇယားကို စစ်ဆေးပြီး နိုက်ထရိုဂျင်ထည့်သွင်းပါ။ သေချာမသိပါက နောက်ထပ်မျိုးအောင်မထည့်မီ ဒေသခံစိုက်ပျိုးရေးအရာရှိကို မေးမြန်းပါ။

လက္ခဏာများ: အရွက်များ အဝါရောင်ပြောင်းခြင်း, အရွက်ဟောင်းများ ဖျော့သွားခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: နိုက်ထရိုဂျင်ဓာတ် ချို့တဲ့ခြင်း

ဖြေရှင်းနည်း: မျိုးအောင်အချိန်ဇယားကို စစ်ဆေးပါ။ ဒေသအလိုက် အကြံပြုထားသည့်အတိုင်း နိုက်ထရိုဂျင်ထည့်သွင်းပါ။ ထည့်သွင်းပြီးနောက် ရေအလွန်အကျွံမသွင်းမိစေရန် ရှောင်ကြဉ်ပါ။",internal,rice;fertilizer,general,my,true
rice-brown-spot,စပါးအညိုကွက်ရောဂါ,disease,rice,"ကျွန်တော်၏စပါးတွင် အရွက်များပေါ် အညိုရောင်အကွက်များ ရှိနေပါသည်။ ဘာလုပ်သင့်ပါသနည်း

စပါးရွက်ပေါ်ရှိ အညိုရောင်အကွက်များသည် အညိုကွက်ရောဂါဖြစ်နိုင်ပြီး အပင်အာဟာရချို့တဲ့ချိန်တွင် ပိုဆိုးတတ်သည်။ ရေစီးရေလာကောင်းအောင်ပြုလုပ်ပါ၊ အပင်ကျဲအောင်စိုက်ပါ၊ မျှတသောမျိုးအောင်သုံးပါ။ ရောဂါပြင်းထန်သောအရွက်များကို ဖယ်ရှားနိုင်သည်။ အကွက်များ လျင်မြန်စွာပျံ့နှံ့ပါက ဒေသခံအကြံဉာဏ်ကို ရယူပါ။

လက္ခဏာများ: အရွက်များပေါ်တွင် အညိုရောင်အကွက်များ, အရွက်ထိပ်ဖျားခြောက်ခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: အညိုကွက်မှိုရောဂါ, အာဟာရမညီမျှခြင်း

ဖြေရှင်းနည်း: လယ်ကွင်းရေစီးရေလာကောင်းမွန်အောင် ပြုလုပ်ပါ။ အပင်များကို ကျဲကျဲစိုက်ပျိုးပါ။ မျှတသောမျိုးအောင်သုံးပါ။ ဖြစ်နိုင်လျှင် ရောဂါပြင်းထန်သောအရွက်များကို ဖယ်ရှားပါ။",internal,rice;disease,general,my,true
rice-blast,စပါးခြောက်လောင်ရောဂါ (Rice Blast),disease,rice,"စပါးခြောက်လောင်ရောဂါ ဘာကြောင့်ဖြစ်ပြီး ဘယ်လိုကာကွယ်ရပါသလဲ

စပါးခြောက်လောင်ရောဂါသည် အရွက်များပေါ်တွင် စိန်ပုံသဏ္ဍာန်အနာများပြပြီး နှံဖုကိုလည်း ထိခိုက်နိုင်သည်။ နိုက်ထရိုဂျင်အလွန်အကျွံကို လျှော့ပါ၊ ရေကို ဂရုတစိုက်စီမံပါ၊ ရောဂါခံနိုင်ရည်ရှိသောမျိုးကို ဦးစားပေးပါ။ ဓာတုကာကွယ်မှုအတွက် ဒေသအလိုက်ခွင့်ပြုထားသော အကြံပြုချက်များကိုသာ လိုက်နာပါ။

လက္ခဏာများ: စိန်ပုံသဏ္ဍာန်အနာ, အရွက်ခြောက်သွေ့ခြင်း, နှံဖုမြစ်ပုပ်ခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: စပါးခြောက်လောင်မှိုရောဂါ (rice blast)

ဖြေရှင်းနည်း: ရနိုင်လျှင် ရောဂါခံနိုင်ရည်ရှိသောမျိုးများကို သုံးပါ။ နိုက်ထရိုဂျင်အလွန်အကျွံရှောင်ပါ။ ရေစီမံခန့်ခွဲမှုကောင်းအောင်ထားပါ။ ခွင့်ပြုထားသော မှိုသတ်ဆေးအကြံပြုချက်အတွက် ဒေသခံတိုးချဲ့ရေးကို မေးမြန်းပါ။",internal,rice;disease;blast,general,my,true
rice-stem-borer,စပါးပင်စည်ထိုးပိုး,pest,rice,"စပါးပင်များတွင် အပင်မသေခြင်းဖြစ်နေပါသည်။ ပင်စည်ထိုးပိုးလား

စပါးတွင် အပင်မသေခြင်းနှင့် နှံဖြူခြင်းသည် ပင်စည်ထိုးပိုးကြောင့်ဖြစ်တတ်သည်။ ရောဂါပြင်းထန်သောကိုင်းများကို ဖယ်ရှားပါ၊ ပိုးမွှားတက်ကြွနေစေသော စိုက်ပျိုးချိန်မညီညာခြင်းကို ရှောင်ပါ၊ အကျိုးပြုအင်းဆက်များကို ကာကွယ်ပါ။ ဒေသခံလမ်းညွှန်ချက်အရ သတ်မှတ်ချက်ထက်ကျော်လွန်မှသာ ပိုးသတ်ဆေးသုံးပါ။

လက္ခဏာများ: အပင်မသေခြင်း (dead heart), နှံဖြူခြင်း, ပင်စည်တွင် ပိုးထွင်းခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: ပင်စည်ထိုးပိုး

ဖြေရှင်းနည်း: ရောဂါကျသောကိုင်းများကို ဖယ်ရှားဖျက်ဆီးပါ။ အနီးတွင် စိုက်ပျိုးချိန် မညီညာစေရန် ရှောင်ပါ။ သဘာဝရန်သူများကို အားပေးပါ။ သတ်မှတ်ချက်အလိုက် ဒေသခံထိန်းချုပ်မှုအကြံဉာဏ်ကို သုံးပါ။",internal,rice;pest;dead;heart,general,my,true
tomato-leaf-curl,ခရမ်းချဉ်ရွက်ခွေရောဂါ (Leaf Curl),disease,tomato,"ခရမ်းချဉ်ရွက်များ အထက်သို့ခွေနေပါသည်။ ဘာဖြစ်နေတာလဲ

ခရမ်းချဉ်ရွက်များ အထက်သို့ခွေခြင်းနှင့် ကြီးထွားမှုနှေးခြင်းသည် ပြာဖြူပိုးကသယ်ဆောင်သော ရွက်ခွေဗိုင်းရပ်စ်ဖြစ်နိုင်သည်။ ရောဂါပြင်းထန်သောအပင်များကို ဖယ်ရှားပါ၊ ပြာဖြူပိုးအန္တရာယ်ကို လျှော့ချပါ၊ ရောဂါကျပျိုးပင်များ မသုံးပါနှင့်။ ရောဂါကျပြီးသည်နှင့် လွယ်ကူသောကုသနည်းမရှိပါ။

လက္ခဏာများ: အရွက်များ အထက်သို့ခွေခြင်း, ကြီးထွားမှုနှေးခြင်း, အဝါရောင်ပြောင်းခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: ခရမ်းချဉ်ရွက်ခွေဗိုင်းရပ်စ်, ပြာဖြူပိုး (whitefly)

ဖြေရှင်းနည်း: ပြာဖြူပိုးကို ပိုက်ကွန် သို့မဟုတ် ခွင့်ပြုထားသောနည်းများဖြင့် ထိန်းချုပ်ပါ။ ရောဂါပြင်းထန်သောအပင်များကို ဖယ်ရှားပါ။ ရောဂါကျပျိုးပင်များကို လယ်ကွင်းများကြား ရွှေ့ပြောင်းခြင်းကို ရှောင်ပါ။",internal,tomato;disease;whitefly,general,my,true
tomato-early-blight,ခရမ်းချဉ် Early Blight ရောဂါ,disease,tomato,"ခရမ်းချဉ်အောက်ရွက်များတွင် ပစ်မှတ်ပုံသဏ္ဍာန် အညိုရောင်အကွက်များ ရှိနေပါသည်။

ခရမ်းချဉ်ရွက်ဟောင်းများပေါ်ရှိ ပစ်မှတ်ပုံသဏ္ဍာန်အညိုရောင်အကွက်များသည် early blight ဖြစ်တတ်သည်။ ရောဂါကျအောက်ရွက်များကို ဖယ်ရှားပါ၊ ရေကို အရွက်ပေါ်မဟုတ်ဘဲ မြေပေါ်တွင်သွင်းပါ၊ လေဝင်လေထွက်ကောင်းအောင်ပြုလုပ်ပါ။ နောက်ရာသီတွင် သီးနှံအလှည့်ကျစိုက်ပျိုး၍ ရောဂါကူးစက်မှုကို လျှော့ချပါ။

လက္ခဏာများ: ပစ်မှတ်ပုံသဏ္ဍာန် အညိုရောင်အကွက်များ, အောက်ရွက်များ အဝါရောင်ပြောင်းခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: early blight မှိုရောဂါ

ဖြေရှင်းနည်း: လေဝင်လေထွက်ကောင်းအောင်ပြုလုပ်ပါ။ မြေဆီလွှာအဆင့်တွင် ရေသွင်းပါ။ ရောဂါကျအောက်ရွက်များကို ဖယ်ရှားပါ။ နောက်ရာသီတွင် သီးနှံအလှည့်ကျစိုက်ပျိုးပါ။",internal,tomato;disease;early;blight,general,my,true
tomato-blossom-end-rot,ခရမ်းချဉ်အသီးအောက်ခြေပုပ် (Blossom End Rot),fertilizer,tomato,"ကျွန်တော်၏ခရမ်းချဉ်သီးများ အသီးအောက်ခြေတွင် အဘယ်ကြောင့် ပုပ်နေသနည်း

အသီးအောက်ခြေတွင် အမည်းရောင်အနာချိုင့်ရှိခြင်းသည် ကယ်လစီယမ်စုပ်ယူမှုနှင့် ရေသွင်းမမှန်ခြင်းကြောင့် ဖြစ်တတ်သော blossom-end rot ဖြစ်သည်။ မြေအစိုဓာတ်ကို တည်ငြိမ်စေပါ၊ မြက်ဖုံးပါ၊ နူးညံ့သောကြီးထွားမှုဖြစ်စေသော နိုက်ထရိုဂျင်အလွန်အကျွံကို ရှောင်ပါ။

လက္ခဏာများ: အသီးအောက်ခြေတွင် အမည်းရောင်အနာချိုင့်

ဖြစ်နိုင်သောအကြောင်းရင်းများ: ကယ်လစီယမ်မညီမျှခြင်း, ရေသွင်းခြင်းမမှန်ခြင်း

ဖြေရှင်းနည်း: မြေဆီလွှာအစိုဓာတ်ကို တည်ငြိမ်စေပါ။ အလွန်ခြောက်ခြင်းနှင့် စိုခြင်း အလှည့်အပြောင်းကို ရှောင်ပါ။ နိုက်ထရိုဂျင်အလွန်အကျွံမထည့်ပါနှင့်။ အစိုဓာတ်ထိန်းရန် မြက်ဖုံးပါ။",internal,tomato;fertilizer,general,my,true
chili-aphids,ငရုတ် Aphid ပိုးကျရောက်မှု,pest,chili,"ငရုတ်ရွက်များ ခွေပြီး စေးကပ်နေပါသည်။ ဘယ်ပိုးပါလဲ

ငရုတ်ရွက်ခွေပြီး စေးကပ်ခြင်းသည် aphid ပိုးကြောင့်ဖြစ်တတ်သည်။ အရွက်အောက်မျက်နှာကို စစ်ဆေးပါ၊ အနည်းငယ်သာကျရောက်ပါက ရေဖြင့်ဆေးကြောပါ၊ အကျိုးပြုအင်းဆက်များကို ကာကွယ်ပါ။ ပြင်းထန်မှုမရှိလျှင် ဆပ်ပြာဖျန်းဆေးကို ဂရုတစိုက်သုံးပါ၊ ဓာတုဆေးပြင်းများကို ရှောင်ပါ။

လက္ခဏာများ: ရွက်များခွေခြင်း, စေးကပ်သောအရည် (honeydew), အပင်ပေါ် ပုရွက်ဆိတ်များ

ဖြစ်နိုင်သောအကြောင်းရင်းများ: ရွက်အောက်တွင် ကျရောက်သော aphid ပိုး

ဖြေရှင်းနည်း: အနည်းအကျဉ်းသာကျရောက်ပါက ရေဖြင့်ဆေးကြောပါ။ ပိုးစားနှပ်ထိုး (ladybug) များကို အားပေးပါ။ ညင်သာသောဆပ်ပြာဖျန်းဆေးကို ဂရုတစိုက်သုံးပါ။ အရွက်အောက်မျက်နှာကို မကြာခဏစစ်ဆေးပါ။",internal,chili;pest;aphid;honeydew,general,my,true
chili-leaf-spot,ငရုတ်ရွက်အကွက်ရောဂါ,disease,chili,"ငရုတ်ပင် အကွက်များပါသောအရွက်များ ကြွေကျနေပါသည်။

ငရုတ်ရွက်အကွက်များနှင့် အရွက်ကြွေခြင်းသည် မှို သို့မဟုတ် ဘက်တီးရီးယားကြောင့်ဖြစ်နိုင်သည်။ အပေါ်မှရေလောင်းခြင်းကိုရှောင်ပါ၊ ရောဂါကျအရွက်များကို ဖယ်ရှားပါ၊ လေဝင်လေထွက်ကောင်းရန် အပင်များကို ကျဲအောင်ထားပါ။ ကိရိယာများကို သန့်ရှင်းပါ။

လက္ခဏာများ: အရွက်ပေါ်တွင် စက်ဝိုင်းပုံအကွက်များ, အရွက်ကြွေခြင်း

ဖြစ်နိုင်သောအကြောင်းရင်းများ: မှို သို့မဟုတ် ဘက်တီးရီးယားကြောင့် အရွက်အကွက်ရောဂါ

ဖြေရှင်းနည်း: အပေါ်မှရေလောင်းခြင်းကို ရှောင်ပါ။ ရောဂါကျအရွက်များကို ဖယ်ရှားပါ။ အပင်အကြားအကွာအဝေးနှင့် လေဝင်လေထွက်ကောင်းအောင်ပြုလုပ်ပါ။ အပင်များကြား ကိရိယာများကို သန့်ရှင်းပါ။",internal,chili;disease,general,my,true
cabbage-diamondback-moth,ဂေါ်ဖီ Diamondback Moth ပိုး,pest,cabbage,"ကျွန်တော်၏ဂေါ်ဖီရွက်များတွင် တစ်စုံတစ်ရာ အပေါက်ဖောက်နေပါသည်။

ဂေါ်ဖီရွက်အပေါက်များသည် diamondback moth ပိုးလောင်းကြောင့်ဖြစ်တတ်သည်။ မကြာခဏစစ်ဆေးပါ၊ အနည်းငယ်သာရှိလျှင် လက်ဖြင့်ကောက်ယူပါ၊ ပျိုးခင်းကို ပိုက်ကွန်ဖြင့်ကာကွယ်ပါ၊ ပိုးသံသရာဖြတ်ရန် ဂေါ်ဖီမျိုးနွယ်သီးနှံများကို အလှည့်ကျစိုက်ပျိုးပါ။

လက္ခဏာများ: အရွက်များတွင် အပေါက်များ, အစိမ်းရောင်သန်းသော ပိုးလောင်းငယ်များ

ဖြစ်နိုင်သောအကြောင်းရင်းများ: diamondback moth ပိုး

ဖြေရှင်းနည်း: အရွက်များကို ပုံမှန်စစ်ဆေးပါ။ အနည်းငယ်သာရှိလျှင် လက်ဖြင့်ကောက်ယူပါ။ ပျိုးခင်းတွင် ပိုက်ကွန်သုံးပါ။ ဂေါ်ဖီမျိုးနွယ် သီးနှံများကို အလှည့်ကျစိုက်ပါ။",internal,cabbage;pest;diamondback;moth,general,my,true
